"","Word","Freq"
"slowly","slowly",1332
"yesterday","yesterday",1329
"king","king",1327
"worth","worth",1327
"nothings","nothings",1320
"working","working",1316
"blame","blame",1311
"grow","grow",1307
"river","river",1303
"taking","taking",1302
"asked","asked",1302
"ocean","ocean",1302
"land","land",1301
"prayer","prayer",1300
"desire","desire",1298
"doubt","doubt",1297
"perfect","perfect",1294
"hang","hang",1287
"woah","woah",1286
"stuff","stuff",1285
"doin","doin",1280
"half","half",1277
"whoot","whoot",1275
"kept","kept",1272
"someday","someday",1270
"track","track",1266
"answer","answer",1264
"kinda","kinda",1263
"beside","beside",1263
"wear","wear",1262
"shut","shut",1259
"hump","hump",1256
"cmon","cmon",1251
"nah","nah",1246
"mouth","mouth",1245
"longer","longer",1243
"piece","piece",1240
"great","great",1240
"dirty","dirty",1237
"sunshine","sunshine",1229
"whatcha","whatcha",1229
"father","father",1225
"ohh","ohh",1223
"movin","movin",1222
"fear","fear",1220
"red","red",1218
"key","key",1214
"glad","glad",1212
"booty","booty",1208
"son","son",1207
"heat","heat",1206
"twice","twice",1206
"hanging","hanging",1203
"sexy","sexy",1199
"stupid","stupid",1196
"crying","crying",1193
"hell","hell",1193
"likes","likes",1188
"ran","ran",1187
"knock","knock",1186
"lyrics","lyrics",1186
"strange","strange",1172
"escape","escape",1168
"disco","disco",1167
"tear","tear",1164
"tree","tree",1160
"clear","clear",1156
"sit","sit",1155
"dahm","dahm",1152
"oom","oom",1152
"clothes","clothes",1151
"shame","shame",1150
"shout","shout",1149
"losing","losing",1147
"poor","poor",1142
"four","four",1141
"send","send",1141
"dear","dear",1140
"kisses","kisses",1139
"tough","tough",1137
"nowhere","nowhere",1133
"christmas","christmas",1133
"walks","walks",1128
"peace","peace",1127
"kissed","kissed",1122
"men","men",1118
"eat","eat",1117
"water","water",1116
"second","second",1111
"’ve","’ve",1107
"story","story",1107
"joy","joy",1106
"cried","cried",1104
"willy","willy",1104
"future","future",1103
"ladies","ladies",1103
"promises","promises",1099
"blues","blues",1099
"shoes","shoes",1095
"single","single",1095
"crowd","crowd",1095
"west","west",1091
"faith","faith",1089
"scene","scene",1089
"comin","comin",1087
"pull","pull",1084
"shack","shack",1084
"ago","ago",1082
"clap","clap",1082
"happened","happened",1081
"knowing","knowing",1079
"pray","pray",1078
"gloria","gloria",1077
"wonderful","wonderful",1076
"hee","hee",1075
"nice","nice",1074
"lives","lives",1074
"drove","drove",1074
"style","style",1074
"sex","sex",1065
"thanks","thanks",1061
"sick","sick",1060
"suddenly","suddenly",1060
"mother","mother",1059
"corner","corner",1057
"guitar","guitar",1054
"rush","rush",1049
"mad","mad",1049
"lets","lets",1049
"knees","knees",1044
"begging","begging",1042
"fools","fools",1042
"queen","queen",1041
"fab","fab",1040
"year","year",1039
"instrumental","instrumental",1037
"funky","funky",1037
"dancin","dancin",1035
"rather","rather",1035
"school","school",1033
"wondering","wondering",1025
"thinkin","thinkin",1020
"feelings","feelings",1018
"san","san",1016
"skin","skin",1016
"lovely","lovely",1015
"rich","rich",1015
"hurts","hurts",1013
"underneath","underneath",1010
"held","held",1007
"con","con",1005
"dreamer","dreamer",1001
"deny","deny",998
"realize","realize",996
"children","children",995
"small","small",994
"release","release",994
"supposed","supposed",991
"anyway","anyway",987
"fill","fill",986
"space","space",984
"thousand","thousand",982
"damn","damn",981
"ahh","ahh",980
"blah","blah",980
"point","point",977
"bitch","bitch",975
"hurry","hurry",974
"cryin","cryin",974
"downtown","downtown",974
"nelly","nelly",972
"middle","middle",971
"gold","gold",970
"letter","letter",968
"ron","ron",967
"build","build",965
"playin","playin",964
"groove","groove",962
"mambo","mambo",961
"ahead","ahead",960
"trouble","trouble",956
"kick","kick",956
"shines","shines",952
"blood","blood",949
"played","played",943
"skies","skies",942
"anybody","anybody",942
"freedom","freedom",941
"difference","difference",941
"hush","hush",940
"scream","scream",939
"favorite","favorite",937
"upside","upside",936
"closer","closer",935
"pick","pick",935
"beats","beats",934
"drink","drink",932
"finest","finest",932
"memory","memory",931
"shining","shining",931
"yea","yea",929
"hollaback","hollaback",928
"bet","bet",927
"clock","clock",925
"cross","cross",924
"grab","grab",919
"tellin","tellin",919
"yet","yet",914
"changed","changed",912
"devil","devil",909
"nigga","nigga",909
"tender","tender",908
"stronger","stronger",907
"woo","woo",907
"ends","ends",904
"empty","empty",901
"darkness","darkness",897
"paradise","paradise",897
"ice","ice",895
"’ll","’ll",894
"sin","sin",893
"message","message",890
"happiness","happiness",889
"wherever","wherever",889
"drop","drop",884
"pussycat","pussycat",884
"amp","amp",882
"telephone","telephone",882
"thunder","thunder",881
"cut","cut",878
"passion","passion",877
"problems","problems",876
"hour","hour",875
"stopped","stopped",875
"nobodys","nobodys",872
"act","act",871
"dress","dress",868
"gives","gives",867
"brain","brain",866
"spin","spin",866
"beneath","beneath",865
"cars","cars",865
"count","count",864
"shorty","shorty",864
"wishing","wishing",863
"wine","wine",862
"already","already",861
"yellow","yellow",857
"choice","choice",854
"waited","waited",852
"givin","givin",851
"womanizer","womanizer",851
"llama","llama",850
"pack","pack",849
"shoop","shoop",848
"streets","streets",843
"pride","pride",841
"miracle","miracle",840
"silly","silly",838
"sand","sand",837
"flow","flow",837
"cosa","cosa",834
"dit","dit",833
"ball","ball",830
"buena","buena",830
"darle","darle",830
"mess","mess",827
"foolish","foolish",826
"died","died",825
"candy","candy",823
"means","means",822
"hero","hero",822
"daddy","daddy",821
"weak","weak",819
"girlfriend","girlfriend",818
"hoo","hoo",817
"stuck","stuck",815
"hungry","hungry",815
"tainted","tainted",815
"green","green",814
"forgive","forgive",813
"bird","bird",813
"everythings","everythings",813
"club","club",813
"rules","rules",812
"material","material",810
"within","within",807
"aww","aww",807
"sayin","sayin",806
"sense","sense",805
"asking","asking",805
"ruby","ruby",805
"different","different",802
"rap","rap",801
"dollars","dollars",801
"ohay","ohay",800
"brand","brand",799
"steal","steal",799
"spending","spending",799
"harder","harder",798
"voices","voices",797
"sleeping","sleeping",795
"distance","distance",795
"speak","speak",794
"papa","papa",793
"una","una",792
"thats","thats",791
"waitin","waitin",790
"plays","plays",788
"instead","instead",783
"breaks","breaks",782
"anywhere","anywhere",779
"comfort","comfort",779
"exactly","exactly",777
"given","given",775
"startin","startin",775
"wont","wont",774
"fat","fat",774
"fair","fair",773
"push","push",772
"loneliness","loneliness",769
"strength","strength",768
"wise","wise",767
"welcome","welcome",766
"emotion","emotion",765
"lift","lift",764
"glass","glass",762
"dare","dare",761
"choose","choose",759
"walls","walls",756
"race","race",756
"miles","miles",755
"starts","starts",754
"hoping","hoping",754
"jerk","jerk",753
"stone","stone",752
"lifting","lifting",752
"winter","winter",751
"shall","shall",748
"surprise","surprise",747
"bones","bones",747
"wanderer","wanderer",745
"leaves","leaves",744
"danger","danger",742
"pieces","pieces",742
"church","church",741
"midnight","midnight",740
"remind","remind",740
"lying","lying",738
"five","five",735
"broke","broke",735
"hangin","hangin",735
"games","games",734
"amor","amor",733
"snow","snow",731
"gun","gun",728
"cha","cha",726
"record","record",722
"donna","donna",722
"hip","hip",722
"missed","missed",720
"begin","begin",719
"business","business",719
"fame","fame",714
"become","become",713
"human","human",712
"brought","brought",712
"annie","annie",712
"dawn","dawn",711
"stick","stick",711
"faces","faces",710
"surrender","surrender",705
"women","women",705
"smoke","smoke",705
"stranger","stranger",705
"ampampquot","ampampquot",702
"dry","dry",702
"cup","cup",701
"loud","loud",700
"mister","mister",699
"dos","dos",699
"company","company",698
"seemed","seemed",695
"finger","finger",695
"battle","battle",694
"makin","makin",693
"shot","shot",693
"whisper","whisper",690
"moves","moves",690
"bear","bear",689
"begun","begun",688
"case","case",687
"roam","roam",687
"spot","spot",686
"fantasy","fantasy",685
"cares","cares",684
"sweeter","sweeter",684
"gon","gon",684
"beating","beating",681
"hardly","hardly",680
"bampm","bampm",680
"rainy","rainy",678
"hotel","hotel",678
"solo","solo",676
"les","les",675
"invisible","invisible",675
"choo","choo",673
"shy","shy",672
"wide","wide",672
"tall","tall",672
"brown","brown",672
"sorrow","sorrow",670
"news","news",669
"dum","dum",667
"coast","coast",667
"surf","surf",665
"softly","softly",664
"saturday","saturday",663
"question","question",663
"east","east",661
"turns","turns",661
"mans","mans",659
"boots","boots",655
"takin","takin",654
"runnin","runnin",654
"disguise","disguise",650
"faithful","faithful",649
"quite","quite",646
"mountain","mountain",644
"rising","rising",644
"rough","rough",644
"stare","stare",642
"touched","touched",641
"rhyme","rhyme",641
"lifes","lifes",640
"somebodys","somebodys",639
"moonlight","moonlight",638
"survive","survive",637
"leavin","leavin",637
"refrain","refrain",635
"woke","woke",635
"search","search",633
"changes","changes",633
"sell","sell",633
"cherry","cherry",632
"weep","weep",631
"edge","edge",630
"deeper","deeper",628
"soft","soft",627
"motion","motion",627
"doctor","doctor",626
"book","book",625
"ampquot","ampquot",623
"york","york",623
"age","age",623
"driving","driving",621
"flower","flower",619
"boat","boat",619
"shadows","shadows",618
"breeze","breeze",617
"works","works",616
"band","band",615
"drag","drag",615
"simon","simon",613
"chewy","chewy",612
"california","california",611
"touching","touching",611
"heading","heading",609
"wrote","wrote",608
"niggas","niggas",607
"tick","tick",607
"busy","busy",607
"return","return",606
"clown","clown",605
"trip","trip",605
"boo","boo",604
"sunlight","sunlight",602
"tune","tune",601
"mend","mend",600
"weather","weather",599
"resist","resist",599
"silence","silence",599
"spell","spell",598
"fallin","fallin",597
"join","join",597
"dressed","dressed",597
"physical","physical",597
"spread","spread",596
