"","Word","Freq"
"darlin","darlin",586
"sweat","sweat",585
"burnin","burnin",578
"clothes","clothes",576
"steal","steal",575
"yea","yea",575
"piece","piece",574
"mouth","mouth",574
"ahh","ahh",572
"rainy","rainy",571
"golden","golden",570
"count","count",568
"whisper","whisper",567
"swing","swing",566
"damn","damn",566
"news","news",565
"style","style",565
"ago","ago",565
"hours","hours",563
"fill","fill",561
"shadows","shadows",560
"devil","devil",559
"escape","escape",559
"sorrow","sorrow",558
"ends","ends",558
"highway","highway",557
"shame","shame",556
"picture","picture",556
"tree","tree",555
"five","five",555
"eat","eat",554
"hmm","hmm",548
"york","york",548
"small","small",547
"teacher","teacher",546
"sha","sha",545
"kids","kids",543
"guys","guys",542
"changing","changing",542
"cover","cover",541
"rather","rather",538
"nothings","nothings",538
"okay","okay",536
"cross","cross",534
"already","already",534
"direction","direction",533
"bang","bang",530
"romance","romance",528
"silver","silver",528
"games","games",528
"pick","pick",527
"jenny","jenny",527
"mans","mans",525
"given","given",524
"que","que",523
"sail","sail",521
"mighty","mighty",521
"runaway","runaway",520
"john","john",520
"wondering","wondering",517
"father","father",516
"tear","tear",515
"starts","starts",515
"slip","slip",515
"sunny","sunny",515
"wife","wife",515
"dime","dime",514
"ice","ice",514
"write","write",511
"leaves","leaves",510
"key","key",508
"moves","moves",508
"somethin","somethin",507
"lets","lets",506
"walls","walls",504
"dress","dress",503
"job","job",502
"bird","bird",501
"outta","outta",501
"return","return",501
"ohh","ohh",501
"shut","shut",500
"bet","bet",499
"candy","candy",499
"makin","makin",499
"west","west",499
"clean","clean",499
"cos","cos",498
"less","less",497
"glass","glass",495
"choose","choose",494
"hurry","hurry",493
"searching","searching",493
"freedom","freedom",492
"sunshine","sunshine",490
"sixteen","sixteen",488
"clock","clock",486
"pretend","pretend",486
"weak","weak",485
"welcome","welcome",485
"older","older",485
"clouds","clouds",484
"mess","mess",484
"stuck","stuck",481
"ease","ease",481
"beats","beats",481
"breathing","breathing",481
"wise","wise",477
"runs","runs",477
"darkness","darkness",477
"storm","storm",477
"teach","teach",477
"believing","believing",477
"slide","slide",476
"trouble","trouble",475
"single","single",475
"heavens","heavens",474
"bridge","bridge",473
"view","view",473
"stranger","stranger",472
"plan","plan",471
"grown","grown",470
"ooooh","ooooh",470
"tells","tells",470
"limbo","limbo",470
"drove","drove",469
"lucky","lucky",469
"space","space",467
"rocket","rocket",466
"surely","surely",466
"speed","speed",465
"shy","shy",465
"shadow","shadow",465
"asked","asked",464
"hour","hour",464
"diamond","diamond",464
"dust","dust",464
"monday","monday",463
"shit","shit",462
"written","written",461
"rise","rise",460
"kid","kid",460
"machine","machine",459
"silence","silence",458
"shall","shall",458
"rules","rules",456
"short","short",454
"passed","passed",454
"momma","momma",454
"nobodys","nobodys",453
"almost","almost",451
"spread","spread",449
"skies","skies",448
"satisfied","satisfied",448
"hip","hip",447
"guns","guns",447
"quit","quit",445
"urgent","urgent",444
"lovely","lovely",443
"clown","clown",443
"within","within",441
"grass","grass",441
"hundred","hundred",440
"fuck","fuck",440
"movin","movin",439
"hesitate","hesitate",439
"pictures","pictures",438
"learned","learned",438
"fate","fate",438
"fake","fake",438
"mad","mad",437
"waste","waste",437
"state","state",436
"doctor","doctor",436
"jet","jet",435
"brain","brain",434
"worlds","worlds",434
"cha","cha",433
"mood","mood",433
"beach","beach",433
"beyond","beyond",433
"likes","likes",431
"ran","ran",430
"walkin","walkin",429
"rhyme","rhyme",429
"sunday","sunday",428
"spent","spent",428
"insane","insane",427
"explain","explain",427
"proud","proud",426
"mistake","mistake",424
"hole","hole",424
"fair","fair",422
"annie","annie",420
"brother","brother",420
"halfway","halfway",420
"worst","worst",419
"lines","lines",419
"pour","pour",417
"forgive","forgive",417
"simple","simple",416
"fighting","fighting",416
"scene","scene",414
"drivin","drivin",414
"week","week",413
"johnny","johnny",413
"family","family",413
"hills","hills",413
"raise","raise",412
"flowers","flowers",412
"cryin","cryin",410
"stare","stare",410
"supposed","supposed",410
"china","china",409
"letter","letter",408
