"","Word","Freq"
"awake","awake",772
"cried","cried",770
"breath","breath",769
"ways","ways",768
"straight","straight",767
"wings","wings",766
"angels","angels",764
"brought","brought",762
"great","great",759
"freedom","freedom",759
"cuz","cuz",756
"school","school",755
"pay","pay",755
"devil","devil",754
"kill","kill",752
"bit","bit",749
"blame","blame",746
"clear","clear",745
"stupid","stupid",744
"lucky","lucky",735
"dad","dad",735
"afraid","afraid",734
"family","family",734
"lead","lead",733
"everyday","everyday",733
"sister","sister",733
"georgia","georgia",732
"pop","pop",730
"land","land",729
"mouth","mouth",729
"means","means",729
"body","body",729
"tear","tear",726
"held","held",725
"power","power",724
"making","making",722
"longtime","longtime",722
"pray","pray",716
"tree","tree",714
"club","club",714
"clothes","clothes",713
"daddys","daddys",712
"cross","cross",711
"part","part",708
"asked","asked",708
"short","short",707
"somebodys","somebodys",706
"six","six",705
"playing","playing",705
"cut","cut",704
"band","band",701
"jingle","jingle",700
"modern","modern",700
"window","window",696
"outside","outside",696
"force","force",696
"played","played",695
"carry","carry",694
"ampampquot","ampampquot",693
"holdin","holdin",691
"huh","huh",690
"gold","gold",690
"mirror","mirror",689
"gun","gun",688
"sunshine","sunshine",688
"moments","moments",686
"sang","sang",685
"kenny","kenny",683
"anymore","anymore",680
"answer","answer",678
"miles","miles",676
"nights","nights",676
"whatever","whatever",675
"bet","bet",673
"shot","shot",673
"outta","outta",672
"yet","yet",670
"realize","realize",668
"roses","roses",667
"wasted","wasted",667
"luv","luv",665
"everytime","everytime",664
"peace","peace",662
"porch","porch",659
"american","american",658
"catch","catch",655
"getcha","getcha",654
"count","count",651
"rollin","rollin",651
"secret","secret",649
"kept","kept",649
"news","news",648
"cars","cars",647
"kinda","kinda",644
"empty","empty",643
"throw","throw",642
"rogers","rogers",642
"crowd","crowd",641
"reasons","reasons",640
"given","given",639
"church","church",638
"deal","deal",636
"walkin","walkin",634
"everybodys","everybodys",634
"cover","cover",633
"radio","radio",633
"dirt","dirt",633
"picture","picture",631
"ain’t","ain’t",628
"mornin","mornin",626
"tender","tender",626
"somehow","somehow",623
"yesterday","yesterday",623
"rainy","rainy",621
"anyway","anyway",620
"singin","singin",620
"poor","poor",619
"pick","pick",618
"ago","ago",616
"friday","friday",613
"swing","swing",612
"cool","cool",611
"cryin","cryin",611
"hangin","hangin",610
"wear","wear",608
"mountains","mountains",607
"story","story",606
"full","full",604
"happen","happen",601
"whatcha","whatcha",601
"twistin","twistin",600
"blood","blood",599
"eat","eat",598
"mister","mister",597
"happiness","happiness",597
"taste","taste",594
"bridge","bridge",594
"glass","glass",594
"faith","faith",593
"burning","burning",593
"highway","highway",593
"fit","fit",592
"mighty","mighty",591
"mom","mom",588
"watchin","watchin",583
"whiskey","whiskey",583
"read","read",582
"walks","walks",582
"trouble","trouble",581
"later","later",579
"fear","fear",579
"wit","wit",579
"starts","starts",578
"raining","raining",578
"doubt","doubt",574
"rockin","rockin",573
"places","places",573
"bright","bright",572
"died","died",570
"learn","learn",570
"hundred","hundred",566
"sand","sand",564
"week","week",558
"style","style",558
"rough","rough",558
"needed","needed",558
"para","para",558
"bird","bird",557
"batter","batter",557
"prayin","prayin",557
"dawn","dawn",556
"skin","skin",556
"pulled","pulled",553
"key","key",553
"thousand","thousand",552
"send","send",552
"saying","saying",550
"dear","dear",547
"ocean","ocean",547
"tune","tune",544
"roads","roads",542
"blow","blow",542
"laid","laid",541
"fuck","fuck",541
"share","share",540
"job","job",539
"loud","loud",539
"flying","flying",538
"strength","strength",537
"prayer","prayer",537
"walking","walking",537
"chains","chains",537
"dress","dress",536
"early","early",535
"heat","heat",534
"shut","shut",534
"glad","glad",533
"sail","sail",532
"luck","luck",531
"leaving","leaving",531
"minute","minute",527
"sam","sam",526
"ran","ran",525
"piece","piece",524
"queen","queen",524
"knowing","knowing",524
"rhythm","rhythm",521
"preacher","preacher",521
"kid","kid",519
"mmmm","mmmm",519
"workin","workin",518
"nowhere","nowhere",516
"rise","rise",515
"hole","hole",514
"romance","romance",513
"anybody","anybody",511
"stopped","stopped",511
"wrapped","wrapped",511
"written","written",510
"okay","okay",510
"motion","motion",507
"uptown","uptown",506
"skies","skies",506
"texas","texas",505
"course","course",505
"hoo","hoo",505
"‘cause","‘cause",504
"’t","’t",502
"ringing","ringing",501
"paper","paper",500
"bear","bear",499
"wont","wont",498
