"","Word","Freq"
"mornin","mornin",511
"rush","rush",511
"case","case",511
"sprung","sprung",511
"spring","spring",509
"melody","melody",509
"drinks","drinks",508
"everythings","everythings",507
"strange","strange",507
"lemme","lemme",507
"jumped","jumped",506
"begun","begun",505
"delicious","delicious",504
"addicted","addicted",504
"color","color",503
"rihanna","rihanna",503
"shoot","shoot",502
"reasons","reasons",502
"usher","usher",502
"dirt","dirt",501
"become","become",501
"dying","dying",500
"fears","fears",500
"opened","opened",499
"complete","complete",499
"quite","quite",498
"grown","grown",498
"build","build",498
"yeahyeah","yeahyeah",498
"hello","hello",497
"brain","brain",497
"stare","stare",496
"duke","duke",496
"faithful","faithful",495
"kissing","kissing",495
"somethings","somethings",495
"uhhuh","uhhuh",494
"thong","thong",494
"dime","dime",493
"won’t","won’t",492
"champions","champions",492
"creep","creep",492
"sounds","sounds",491
"smilin","smilin",491
"wow","wow",489
"neck","neck",489
"winter","winter",488
"woke","woke",488
"often","often",488
"desire","desire",485
"filled","filled",485
"refuse","refuse",485
"brothers","brothers",484
"vibe","vibe",484
"meaning","meaning",483
"glow","glow",483
"evening","evening",483
"cherish","cherish",483
"yippieyiyoyippieyiyea","yippieyiyoyippieyiyea",483
"great","great",481
"band","band",481
"youre","youre",481
"misery","misery",480
"jam","jam",479
"son","son",478
"momma","momma",478
"zone","zone",477
"hotel","hotel",477
"weather","weather",476
"tenderness","tenderness",476
"hurtin","hurtin",476
"plus","plus",476
"leavin","leavin",476
"buh","buh",476
"vision","vision",475
"aah","aah",475
"prove","prove",474
"likes","likes",474
"sold","sold",474
"message","message",473
"seat","seat",473
"foolish","foolish",472
"wave","wave",472
"roof","roof",472
"spoken","spoken",471
"land","land",471
"imma","imma",471
"claim","claim",470
"bumpin","bumpin",470
"beyond","beyond",469
"tells","tells",469
"shut","shut",468
"bein","bein",468
"exactly","exactly",467
"arm","arm",466
"pack","pack",465
"release","release",465
"class","class",465
"erase","erase",465
"bass","bass",465
"umbrella","umbrella",465
"diss","diss",462
"awake","awake",461
"stuck","stuck",461
"oooooh","oooooh",458
"bank","bank",457
"owe","owe",455
"billy","billy",455
"threw","threw",454
"soft","soft",453
"saturday","saturday",453
"blues","blues",452
"space","space",452
"workin","workin",452
"tasty","tasty",452
"rhythm","rhythm",451
"somebodys","somebodys",451
"hoo","hoo",450
"hiding","hiding",450
"turnin","turnin",450
"rich","rich",450
"super","super",450
"ounce","ounce",450
"groovin","groovin",449
"passed","passed",448
"date","date",448
"wee","wee",448
"keys","keys",448
"written","written",447
"evry","evry",447
"load","load",447
"caress","caress",446
"unchain","unchain",444
"cover","cover",444
"paul","paul",444
"chest","chest",444
"sign","sign",443
"church","church",443
"fancy","fancy",442
"knee","knee",442
"resist","resist",441
"dancer","dancer",441
"givin","givin",440
"apple","apple",439
"lines","lines",438
"yard","yard",437
"clouds","clouds",436
"spread","spread",436
"crunk","crunk",436
"willing","willing",435
"tighten","tighten",435
"sweat","sweat",434
"quick","quick",434
"beauty","beauty",433
"joe","joe",432
"neyo","neyo",432
"comfort","comfort",431
"movie","movie",431
"king","king",431
"tryna","tryna",431
"human","human",430
"neither","neither",429
"hesitate","hesitate",429
"anytime","anytime",429
"american","american",429
"direction","direction",428
"action","action",427
"plenty","plenty",427
"toes","toes",427
"discover","discover",426
"york","york",426
"rescue","rescue",426
"ending","ending",426
"promised","promised",423
"player","player",422
"pressure","pressure",422
"wondering","wondering",421
"raining","raining",421
"piece","piece",420
"mountains","mountains",420
"ghostbusters","ghostbusters",420
"dirrty","dirrty",420
"dutty","dutty",420
"tree","tree",418
"bottom","bottom",418
"hero","hero",417
"answers","answers",417
"loneliness","loneliness",416
"yoyo","yoyo",416
"wrap","wrap",416
"dovey","dovey",416
"lovey","lovey",416
"teach","teach",415
"regret","regret",415
"yesterdays","yesterdays",415
"affair","affair",415
"lib","lib",415
"windows","windows",415
"fit","fit",413
"danger","danger",413
"ice","ice",413
"dynamite","dynamite",413
"clean","clean",411
"staring","staring",411
"zero","zero",410
"switch","switch",410
"squeeze","squeeze",409
"cash","cash",409
"fingers","fingers",409
"upside","upside",409
"bags","bags",408
"short","short",408
"soothe","soothe",408
"small","small",408
"doggone","doggone",407
"medicine","medicine",407
"sho","sho",407
"wantin","wantin",407
"kisses","kisses",406
"shadow","shadow",405
"hundred","hundred",404
"def","def",404
"favorite","favorite",403
"ain’t","ain’t",403
"wrote","wrote",402
"difference","difference",401
"sha","sha",401
"natural","natural",401
"headed","headed",401
"´s","´s",401
"darkness","darkness",400
"replying","replying",400
"grows","grows",399
"taught","taught",399
"future","future",399
"heartbeat","heartbeat",397
"lopez","lopez",397
"deeper","deeper",396
"lama","lama",396
"wonderin","wonderin",396
"upset","upset",396
"diggin","diggin",396
"joystick","joystick",396
"nightshift","nightshift",396
"oooo","oooo",395
"stones","stones",394
"passion","passion",394
"hangin","hangin",393
"horny","horny",393
"least","least",392
"ashamed","ashamed",392
"spirit","spirit",392
"mouth","mouth",392
"actin","actin",392
"doors","doors",391
"hush","hush",391
"hardly","hardly",391
"ashanti","ashanti",390
"hurting","hurting",389
"sorrow","sorrow",388
"chances","chances",387
"shaking","shaking",387
"havin","havin",387
"cares","cares",386
"join","join",386
"embrace","embrace",385
"boat","boat",385
"ends","ends",385
"controversy","controversy",385
"lum","lum",384
"aside","aside",384
"lalalalala","lalalalala",384
"lonesome","lonesome",383
"excuse","excuse",383
"bones","bones",382
"dee","dee",381
"chant","chant",381
"truckin","truckin",380
"emergency","emergency",380
"checkin","checkin",379
"miles","miles",377
"nobodys","nobodys",377
"wash","wash",377
"knocked","knocked",377
"crew","crew",377
"gosh","gosh",377
"dawn","dawn",376
"thinks","thinks",376
"paradise","paradise",375
"reminisce","reminisce",374
"crowd","crowd",373
"trip","trip",373
"screaming","screaming",372
"bug","bug",372
"cream","cream",372
"letting","letting",372
"female","female",372
"goodies","goodies",371
"station","station",371
"ure","ure",371
"heals","heals",370
"language","language",370
"jennifer","jennifer",370
"foot","foot",369
"park","park",369
"corner","corner",368
"swing","swing",368
"moves","moves",368
"apologize","apologize",368
"seeing","seeing",368
"straighten","straighten",367
"blood","blood",366
"guitar","guitar",366
"insane","insane",366
"enjoy","enjoy",366
"mood","mood",366
"niggaz","niggaz",366
"noise","noise",365
"awhile","awhile",365
"kelly","kelly",365
"inspiration","inspiration",364
"disco","disco",364
"grade","grade",364
"…","…",364
"pre","pre",364
"prayer","prayer",363
"dressed","dressed",363
"shared","shared",363
"cheaper","cheaper",363
"quiet","quiet",361
"situation","situation",361
"coat","coat",361
"begging","begging",361
"shinin","shinin",360
"singin","singin",360
"camera","camera",360
"anxious","anxious",360
"thoing","thoing",360
"treats","treats",359
"oclock","oclock",359
"blessed","blessed",359
"emotional","emotional",359
"rum","rum",359
"wife","wife",358
"chain","chain",358
"rise","rise",357
"joneses","joneses",357
"mistake","mistake",356
"destiny","destiny",356
"scandalous","scandalous",356
"harm","harm",355
"skies","skies",355
"hopin","hopin",355
"shady","shady",355
"hooked","hooked",355
"friday","friday",355
"ridin","ridin",354
"shoop","shoop",354
"partner","partner",353
"missin","missin",353
"learned","learned",353
"promises","promises",352
"stress","stress",351
"bringing","bringing",350
"touched","touched",350
"questions","questions",350
"slowly","slowly",349
"rolls","rolls",349
"ear","ear",349
"hop","hop",349
"obsessed","obsessed",349
"seven","seven",348
"food","food",348
"spin","spin",348
"flossy","flossy",348
"thanks","thanks",347
"shelter","shelter",347
"history","history",347
"boyfriend","boyfriend",346
"ran","ran",346
"command","command",345
"lean","lean",345
"corvette","corvette",345
"doom","doom",345
"precious","precious",344
"guide","guide",344
"bended","bended",344
